item_id,recommended_item,cosine_similarity,confidence
CA101,CA102,0.0,0.0
CA101,CA103,0.0,0.0
CA101,DO101,0.0,0.0
CA101,DO102,0.0,0.0
CA101,DO103,0.0,0.0
CA102,CA101,0.0,0.0
CA102,CA103,0.0,0.0
CA102,DO101,0.0,0.0
CA102,DO102,0.0,0.0
CA102,DO103,0.0,0.0
CA103,CA101,0.0,0.0
CA103,CA102,0.0,0.0
CA103,DO101,0.0,0.0
CA103,DO102,0.0,0.0
CA103,DO103,0.0,0.0
DO101,KN101,0.5,0.25
DO101,HI101,0.2886751345948129,0.25
DO101,HI102,0.22360679774997896,0.25
DO101,LO102,0.16666666666666666,0.25
DO101,CA102,0.0,0.0
DO102,HI102,0.50709255283711,0.42857142857142855
DO102,HI101,0.2182178902359924,0.14285714285714285
DO102,LO102,0.1259881576697424,0.14285714285714285
DO102,CA101,0.0,0.0
DO102,CA102,0.0,0.0
DO103,LO102,0.4811252243246881,0.4166666666666667
DO103,LO103,0.4082482904638631,0.16666666666666666
DO103,LO101,0.2886751345948129,0.08333333333333333
DO103,HI101,0.16666666666666666,0.08333333333333333
DO103,HI102,0.12909944487358055,0.08333333333333333
DR101,CA101,0.0,0.0
DR101,CA102,0.0,0.0
DR101,CA103,0.0,0.0
DR101,DO101,0.0,0.0
DR101,DO102,0.0,0.0
DR102,CA101,0.0,0.0
DR102,CA102,0.0,0.0
DR102,CA103,0.0,0.0
DR102,DO101,0.0,0.0
DR102,DO102,0.0,0.0
DR103,CA101,0.0,0.0
DR103,CA102,0.0,0.0
DR103,CA103,0.0,0.0
DR103,DO101,0.0,0.0
DR103,DO102,0.0,0.0
FA101,CA101,0.0,0.0
FA101,CA102,0.0,0.0
FA101,CA103,0.0,0.0
FA101,DO101,0.0,0.0
FA101,DO102,0.0,0.0
FA102,CA101,0.0,0.0
FA102,CA102,0.0,0.0
FA102,CA103,0.0,0.0
FA102,DO101,0.0,0.0
FA102,DO102,0.0,0.0
FA103,CA101,0.0,0.0
FA103,CA102,0.0,0.0
FA103,CA103,0.0,0.0
FA103,DO101,0.0,0.0
FA103,DO102,0.0,0.0
FR101,CA101,0.0,0.0
FR101,CA102,0.0,0.0
FR101,CA103,0.0,0.0
FR101,DO101,0.0,0.0
FR101,DO102,0.0,0.0
FR102,CA101,0.0,0.0
FR102,CA102,0.0,0.0
FR102,CA103,0.0,0.0
FR102,DO101,0.0,0.0
FR102,DO102,0.0,0.0
FR103,CA101,0.0,0.0
FR103,CA102,0.0,0.0
FR103,CA103,0.0,0.0
FR103,DO101,0.0,0.0
FR103,DO102,0.0,0.0
HA101,CA101,0.0,0.0
HA101,CA102,0.0,0.0
HA101,CA103,0.0,0.0
HA101,DO101,0.0,0.0
HA101,DO102,0.0,0.0
HA102,CA101,0.0,0.0
HA102,CA102,0.0,0.0
HA102,CA103,0.0,0.0
HA102,DO101,0.0,0.0
HA102,DO102,0.0,0.0
HA103,CA101,0.0,0.0
HA103,CA102,0.0,0.0
HA103,CA103,0.0,0.0
HA103,DO101,0.0,0.0
HA103,DO102,0.0,0.0
HI101,DO101,0.2886751345948129,0.3333333333333333
HI101,DO102,0.2182178902359924,0.3333333333333333
HI101,DO103,0.16666666666666666,0.3333333333333333
HI101,CA101,0.0,0.0
HI101,CA102,0.0,0.0
HI102,DO102,0.50709255283711,0.6
HI102,DO101,0.22360679774997896,0.2
HI102,DO103,0.12909944487358055,0.2
HI102,CA101,0.0,0.0
HI102,CA102,0.0,0.0
KN101,DO101,0.5,1.0
KN101,CA101,0.0,0.0
KN101,CA102,0.0,0.0
KN101,CA103,0.0,0.0
KN101,DO102,0.0,0.0
KN102,CA101,0.0,0.0
KN102,CA102,0.0,0.0
KN102,CA103,0.0,0.0
KN102,DO101,0.0,0.0
KN102,DO102,0.0,0.0
KN103,CA101,0.0,0.0
KN103,CA102,0.0,0.0
KN103,CA103,0.0,0.0
KN103,DO101,0.0,0.0
KN103,DO102,0.0,0.0
LO101,DO103,0.2886751345948129,1.0
LO101,CA101,0.0,0.0
LO101,CA102,0.0,0.0
LO101,CA103,0.0,0.0
LO101,DO101,0.0,0.0
LO102,DO103,0.4811252243246881,0.5555555555555556
LO102,DO101,0.16666666666666666,0.1111111111111111
LO102,DO102,0.1259881576697424,0.1111111111111111
LO102,CA101,0.0,0.0
LO102,CA102,0.0,0.0
LO103,DO103,0.4082482904638631,1.0
LO103,CA101,0.0,0.0
LO103,CA102,0.0,0.0
LO103,CA103,0.0,0.0
LO103,DO101,0.0,0.0
SC101,CA101,0.0,0.0
SC101,CA102,0.0,0.0
SC101,CA103,0.0,0.0
SC101,DO101,0.0,0.0
SC101,DO102,0.0,0.0
SC102,CA101,0.0,0.0
SC102,CA102,0.0,0.0
SC102,CA103,0.0,0.0
SC102,DO101,0.0,0.0
SC102,DO102,0.0,0.0
SC103,CA101,0.0,0.0
SC103,CA102,0.0,0.0
SC103,CA103,0.0,0.0
SC103,DO101,0.0,0.0
SC103,DO102,0.0,0.0
SI101,CA101,0.0,0.0
SI101,CA102,0.0,0.0
SI101,CA103,0.0,0.0
SI101,DO101,0.0,0.0
SI101,DO102,0.0,0.0
SI102,CA101,0.0,0.0
SI102,CA102,0.0,0.0
SI102,CA103,0.0,0.0
SI102,DO101,0.0,0.0
SI102,DO102,0.0,0.0
SI103,CA101,0.0,0.0
SI103,CA102,0.0,0.0
SI103,CA103,0.0,0.0
SI103,DO101,0.0,0.0
SI103,DO102,0.0,0.0
WI101,CA101,0.0,0.0
WI101,CA102,0.0,0.0
WI101,CA103,0.0,0.0
WI101,DO101,0.0,0.0
WI101,DO102,0.0,0.0
WI102,CA101,0.0,0.0
WI102,CA102,0.0,0.0
WI102,CA103,0.0,0.0
WI102,DO101,0.0,0.0
WI102,DO102,0.0,0.0
WI103,CA101,0.0,0.0
WI103,CA102,0.0,0.0
WI103,CA103,0.0,0.0
WI103,DO101,0.0,0.0
WI103,DO102,0.0,0.0
